Sample,NC,AF
GSM2102198_15L.CEL.gz,0,1
GSM2102200_22L.CEL.gz,0,1
GSM2102202_39L.CEL.gz,0,1
GSM2102204_42L.CEL.gz,0,1
GSM2102206_76L.CEL.gz,0,1
GSM2102208_92L.CEL.gz,0,1
GSM2102184_14L.CEL.gz,1,0
GSM2102186_19L.CEL.gz,1,0
GSM2102188_20L.CEL.gz,1,0
GSM2102190_29L.CEL.gz,1,0
GSM2102192_32L.CEL.gz,1,0
GSM2102194_33L.CEL.gz,1,0
GSM2102196_34L.CEL.gz,1,0
GSM1005418_20120815_plus2_0622_YYH_76L__HG_U133_Plus_2_.CEL.gz,0,1
GSM1005420_20120815_plus2_0624_YYH_78L__HG_U133_Plus_2_.CEL.gz,0,1
GSM1005422_20120801_plus2_0612_YYH_81L__HG_U133_Plus_2_.CEL.gz,0,1
GSM1005424_20110506_plus2_0400_YYH_36L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005426_20110414_plus2_0380_YYH_54L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005428_20110414_plus2_0382_YYH_17L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005430_20110414_plus2_0384_YYH_27L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005432_20110324_plus2_0370_YYH_19_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005434_20110324_plus2_0372_YYH_24_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005436_20110324_plus2_0374_YYH_25_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005438_20110324_plus2_0376_YYH_26_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005440_20110315_plus2_0362_YYH_64_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005442_20110315_plus2_0364_YYH_46_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1005444_20110315_plus2_0366_YYH_53_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1006245_20110223_plus2_0359_YYH_69_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM1006247_20090910_U133_plus_2_0046_YYH__HG_U133_Plus_2_.CEL.gz,1,0
GSM1006249_20090910_U133_plus_2_0047_YYH__HG_U133_Plus_2_.CEL.gz,1,0
GSM1006251_20090828_U133_plus_2_0040_YYH__HG_U133_Plus_2_.CEL.gz,1,0
GSM1006253_20110223_plus2_0354_YYH_51_L__HG_U133_Plus_2_.CEL.gz,1,0
GSM789270.CEL.gz,0,1
GSM789273.CEL.gz,0,1
GSM789271.CEL.gz,1,0
GSM789272.CEL.gz,1,0
GSM789274.CEL.gz,1,0
GSM789275.CEL.gz,1,0
GSM373961.CEL.gz,0,1
GSM373962.CEL.gz,0,1
GSM373963.CEL.gz,0,1
GSM373964.CEL.gz,0,1
GSM373965.CEL.gz,0,1
GSM373956.CEL.gz,1,0
GSM373957.CEL.gz,1,0
GSM373958.CEL.gz,1,0
GSM373959.CEL.gz,1,0
GSM373960.CEL.gz,1,0
