Rank,Name,Score
1,IL1B,3558.80581903856
2,ITGB2,2920.2796449164853
3,HSP90AB1,2667.5909645909646
4,CXCL8,2018.498998958055
5,SELL,1764.9199245199243
6,FOS,1517.5414698227748
7,JUN,1411.9214936847777
8,STAT1,1321.9081120815054
9,RDX,1258.0
10,FCGR3B,921.7208848169372
11,PRKN,854.0
12,GSN,848.0
12,TNFAIP6,848.0
14,HLA-DRA,767.2080083659029
15,TYROBP,741.1774281274281
16,YWHAZ,665.1386724386728
17,MNDA,655.7215007215007
18,APOA1,646.0
19,CXCR4,644.0427233594605
20,FRZB,642.0
21,CD74,635.6471949103528
22,NFKBIA,434.0
23,ASPN,432.0
23,PSMC3,432.0
25,PLAUR,431.99999999999994
26,EGR2,426.27435897435885
27,CREB1,414.977133977134
28,EPCAM,329.33535353535353
29,CXCR2,308.19863586800477
30,FPR1,270.8445450748081
31,YWHAE,265.924025974026
32,H2BC4,256.3410256410257
33,CD69,219.5111111111111
34,SERPINA1,218.0
34,BRCC3,218.0
34,NFKBIZ,218.0
34,FHL1,218.0
34,ALDH1A1,218.0
39,THBD,217.99999999999997
40,CDK9,209.72564102564098
41,CD24,202.62020202020207
42,S100A12,198.72514619883017
43,CXCL1,125.15978802545683
44,EGR1,107.85328373179549
45,PTGS2,91.36382418798237
46,CXCR1,84.5480721042833
47,CXCL3,57.11116236348967
48,TGFBR1,54.5
49,S100A8,45.171679197995026
50,C1QA,40.70295260295258
