Rank,Name,Score
1,IL1B,60.183333333333394
2,CXCL8,56.85000000000005
3,ITGB2,53.95000000000005
4,JUN,52.80952380952388
5,CXCR4,51.86666666666673
6,FOS,50.842857142857206
7,STAT1,50.726190476190524
8,CXCR2,50.28333333333339
9,FCGR3B,50.20000000000006
10,HSP90AB1,49.10952380952389
11,SELL,48.833333333333385
12,CXCR1,48.1428571428572
13,CXCL1,47.726190476190546
14,CXCL3,45.64285714285718
15,CCR2,45.00952380952385
16,PTGS2,44.776190476190486
17,NFKBIA,44.676190476190506
18,CCL20,43.509523809523834
18,CCL4,43.509523809523834
20,TYROBP,43.09285714285715
21,HLA-DRA,42.976190476190474
22,CASP8,42.64285714285716
23,FPR1,42.1261904761905
24,EGR1,42.06071428571432
25,CD74,41.85238095238097
26,S100A12,41.50952380952383
27,YWHAZ,41.4761904761905
28,CD69,41.392857142857174
29,KITLG,40.75952380952383
30,CREB1,40.39404761904765
31,TNFAIP6,40.22619047619048
32,IL1RN,40.126190476190494
33,FOSB,39.79404761904764
34,IL1R1,39.70952380952382
35,PPBP,39.25238095238096
36,DUSP1,38.96071428571429
37,EGR2,38.62738095238096
38,FCGR2A,38.459523809523816
39,EPCAM,38.19285714285714
40,MNDA,37.76904761904761
41,ZFP36,37.62738095238096
42,S100A8,37.535714285714285
43,CD83,37.4595238095238
44,C1QA,37.402380952380945
44,C1QB,37.402380952380945
46,CCN2,36.79404761904762
47,YWHAE,36.27738095238096
48,KLRD1,36.15952380952382
49,NAMPT,35.969047619047615
50,CD24,35.81071428571429
