Rank,Name,Score
1,IL1B,12152.0
2,ITGB2,9456.0
3,CXCL8,8146.0
4,FOS,6256.0
5,HSP90AB1,6076.0
6,JUN,5972.0
7,SELL,5104.0
8,STAT1,4392.0
9,FCGR3B,3344.0
10,TYROBP,3154.0
11,CXCR4,2860.0
12,CD74,2856.0
13,RDX,2698.0
14,TNFAIP6,2664.0
15,HLA-DRA,2254.0
16,CREB1,2138.0
17,FRZB,2004.0
18,CXCR2,1952.0
19,MNDA,1872.0
20,GSN,1808.0
21,EGR2,1800.0
22,PRKN,1750.0
23,YWHAZ,1672.0
24,APOA1,1366.0
25,ASPN,1340.0
26,NFKBIA,1212.0
27,H2BC4,998.0
28,FPR1,984.0
29,PLAUR,980.0
30,PSMC3,880.0
31,CXCL1,870.0
32,EPCAM,770.0
33,S100A12,734.0
34,YWHAE,646.0
35,CXCR1,644.0
36,CD69,638.0
37,NFKBIZ,600.0
38,EGR1,500.0
39,THBD,492.0
40,CXCL3,490.0
40,ALDH1A1,490.0
42,FHL1,468.0
43,SERPINA1,458.0
44,CD24,448.0
45,CDK9,442.0
45,BRCC3,442.0
47,PTGS2,438.0
48,C1QA,368.0
48,C1QB,368.0
50,TSC22D3,284.0
