Rank,Name,Score
1,MMP9,13194.777768651991
2,CTNNB1,11690.556814787127
3,HSP90AB1,7640.22056906438
4,ITGB2,7164.911975296371
5,CDK1,6546.058779930044
6,PTPRC,6292.220054157284
7,HP,5534.738787206772
8,TLR2,4406.6492056311645
9,MPO,4049.633792880527
10,CD74,4043.8544122221856
11,COL1A2,3276.038093270678
12,CENPH,3266.227544379578
13,STAT1,3157.6583344543274
14,LTF,2998.3962907647365
15,YWHAZ,2898.9570338231997
16,SUPT16H,2681.636319651953
17,HLA-DRA,2660.255891220251
18,CDK9,2462.001080187233
19,TFRC,2283.2926024561502
20,H4C8,2073.0268080956257
21,VIM,2014.0768154060206
22,HBD,1873.541440710273
23,CD163,1811.2827103226018
24,CASP8,1795.254936987139
25,TYROBP,1777.0712711483873
26,APOA1,1718.5283808148706
27,LCN2,1637.678981527208
28,PRKN,1615.1439132480791
29,CAMP,1606.6702012507922
30,CXCR4,1597.583878355374
31,FCGR3B,1589.0732822478856
32,JAK2,1556.3667752411807
33,TOP2A,1542.2224125412843
34,NCBP1,1498.5989571656064
35,HBM,1442.5414407102735
36,UBE2C,1368.967197863033
37,AHSP,1310.666666666667
38,RNASE3,1303.0
39,PCLAF,1301.5539152822485
40,CEACAM8,1235.1336909250924
41,H2BC7,1201.026808095627
42,CXCR2,1194.9093663763897
43,SELL,1053.7113209027161
44,CALML4,1049.3245612220671
45,SERBP1,1022.8806215683979
46,ALAS2,973.895931360092
47,ELANE,968.4759046853884
48,RAB8A,948.7648621273189
49,HNRNPU,939.6155467391413
50,ALDH1A1,921.8833333333334
