Rank,Name,Score
1,MMP9,95.77619047619035
2,ITGB2,93.4523809523808
3,PTPRC,92.74285714285702
4,CTNNB1,91.86666666666655
5,MPO,88.08690476190469
6,TLR2,86.88333333333324
7,CXCR4,85.26904761904753
8,LTF,83.95357142857137
9,STAT1,83.89999999999999
10,FCGR3B,83.82023809523804
11,CXCR2,83.41904761904756
12,HSP90AB1,83.31904761904781
13,CAMP,83.06904761904757
14,YWHAZ,80.1357142857144
15,HLA-DRA,79.62857142857149
16,HP,79.42023809523806
17,CEACAM8,78.51904761904764
18,VIM,78.44285714285726
19,TYROBP,78.3464285714286
20,LCN2,78.22023809523807
21,ELANE,78.10357142857144
22,CASP8,78.03333333333349
23,CDK1,77.83571428571457
24,CD163,77.83571428571435
25,SELL,77.81309523809526
26,CCR2,76.6190476190477
27,HCK,75.64523809523816
28,FCGR2A,75.45238095238102
29,PRTN3,74.88690476190479
30,JAK2,74.17857142857153
31,TFRC,73.73690476190482
32,CD74,73.51071428571441
33,S100A12,73.28690476190484
34,TOP2A,72.84523809523833
35,ZEB1,72.04285714285732
35,SNAI2,72.04285714285732
37,DEFA4,71.93571428571437
38,PCLAF,71.8452380952383
39,ANPEP,71.70357142857151
40,CCR1,71.5380952380954
41,C3AR1,71.32142857142871
42,COL1A2,70.7702380952382
43,KITLG,70.6523809523811
44,MMP8,70.60238095238104
45,CD24,70.35952380952398
46,BPI,70.26904761904774
47,EPCAM,70.24523809523825
48,APOA1,69.73134920634928
49,C1QB,69.56904761904777
50,AZU1,69.26904761904774
