Rank,Name,Score
1,MMP9,92892.0
2,CTNNB1,75092.0
3,CDK1,50224.0
4,HSP90AB1,48582.0
5,ITGB2,44360.0
6,PTPRC,35870.0
7,HP,35816.0
8,CD74,33694.0
9,TLR2,29874.0
10,MPO,23462.0
11,CENPH,21688.0
12,LTF,20222.0
13,STAT1,18850.0
14,HLA-DRA,17752.0
15,CASP8,17642.0
16,YWHAZ,16750.0
17,SUPT16H,15796.0
18,TOP2A,14958.0
19,CDK9,14568.0
20,CXCR4,13576.0
21,H4C8,13390.0
22,PCLAF,13212.0
23,CAMP,12882.0
24,UBE2C,12484.0
25,COL1A2,11698.0
26,CXCR2,11552.0
27,HBD,11444.0
28,LCN2,11382.0
29,PRKN,11188.0
30,CD163,10974.0
31,VIM,10850.0
32,APOA1,10598.0
33,HBM,9976.0
34,TYROBP,9958.0
35,H2BC7,9842.0
36,JAK2,9768.0
37,FCGR3B,9512.0
38,EIF1AY,9056.0
39,CEACAM8,8884.0
40,AHSP,8866.0
41,ELANE,8682.0
42,NCBP1,7794.0
43,ORM1,7688.0
44,TFRC,7586.0
45,TK1,7416.0
46,RNASE3,7172.0
47,SLPI,6332.0
48,CALML4,5902.0
49,RPS4Y1,5768.0
50,BRCC3,5552.0
