Rank,Name,Score
1,IL1B,26
2,CXCL8,23
3,ITGB2,19
4,JUN,18
4,FOS,18
6,CXCR4,17
7,CXCR2,15
8,CXCL1,14
9,CXCR1,13
9,FCGR3B,13
11,HSP90AB1,12
11,STAT1,12
13,SELL,11
13,TYROBP,11
13,CCR2,11
13,CXCL3,11
13,EGR1,11
18,CCL20,10
18,CCL4,10
20,FOSB,9
21,CD74,8
21,DUSP1,8
21,PTGS2,8
21,CREB1,8
21,PPBP,8
26,HLA-DRA,7
26,NFKBIA,7
28,FPR1,6
28,MNDA,6
28,EGR2,6
28,ZFP36,6
32,CD69,5
32,YWHAZ,5
32,IER2,5
32,S100A12,5
36,HLA-DPA1,4
36,C1QA,4
36,C1QB,4
36,CASP8,4
36,YWHAE,4
36,IL1R1,4
36,CCN2,4
36,FCGR2A,4
36,TNFAIP6,4
36,IL1RN,4
36,EPCAM,4
47,APOA1,3
47,ASPN,3
47,RAB8A,3
47,HLA-DQB2,3
