Rank,Name,Score
1,ITGB2,24.0
2,MMP9,23.0
3,CTNNB1,22.0
4,PTPRC,21.0
4,LTF,21.0
6,MPO,20.0
7,TYROBP,17.0
7,CDK1,17.0
7,FCGR3B,17.0
10,TLR2,16.0
10,CAMP,16.0
10,CXCR4,16.0
13,LCN2,14.0
13,HSP90AB1,14.0
13,UBE2C,14.0
13,CDC20,14.0
13,TOP2A,14.0
13,CEACAM8,14.0
13,DEFA4,14.0
13,ELANE,14.0
21,ASPM,13.0
21,DLGAP5,13.0
21,MAD2L1,13.0
21,MELK,13.0
21,CXCR2,13.0
26,PCLAF,12.0
26,TK1,12.0
26,MMP8,12.0
29,SELL,11.0
29,CD74,11.0
29,JAK2,11.0
29,HP,11.0
29,CD163,11.0
29,KIF20A,11.0
29,CCR2,11.0
29,BPI,11.0
37,HLA-DRA,10.0
37,STAT1,10.0
37,YWHAZ,10.0
37,CDKN3,10.0
37,PRTN3,10.0
42,CCR1,9.0
42,COL1A2,9.0
42,VIM,9.0
42,RNASE3,9.0
42,APOA1,9.0
42,H4C8,9.0
42,CKS2,9.0
42,AZU1,9.0
42,HCK,9.0
